id,Predicted
1,0
2,2
3,2
4,0
5,0
6,0
7,0
8,2
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,2
18,0
19,0
20,1
21,0
22,2
23,0
24,0
25,2
26,0
27,0
28,0
29,1
30,1
31,0
32,2
33,2
34,0
35,0
36,0
37,0
38,2
39,2
40,2
41,0
42,3
43,2
44,2
45,0
46,0
47,2
48,2
49,0
50,0
51,2
52,2
53,2
54,0
55,0
56,1
57,2
58,0
59,0
60,0
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,0
74,0
75,2
76,2
77,0
78,0
79,3
80,0
81,0
82,0
83,2
84,0
85,0
86,2
87,0
88,1
89,0
90,0
91,0
92,2
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,2
103,0
104,2
105,2
106,1
107,0
108,0
109,0
110,2
111,0
112,1
113,0
114,2
115,0
116,2
117,1
118,0
119,2
120,0
121,0
122,0
123,0
124,0
125,0
126,2
127,2
128,0
129,0
130,2
131,2
132,2
133,1
134,0
135,0
136,2
137,0
138,2
139,2
140,2
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,2
151,0
152,0
153,0
154,0
155,2
156,0
157,1
158,0
159,0
160,1
161,0
162,2
163,0
164,0
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,2
175,2
176,2
177,1
178,2
179,2
180,0
181,2
182,2
183,0
184,0
185,0
186,2
187,0
188,0
189,2
190,2
191,2
192,0
193,0
194,0
195,0
196,2
197,1
198,0
199,0
200,0
201,0
202,3
203,0
204,0
205,0
206,0
207,0
208,1
209,2
210,2
211,1
212,0
213,2
214,1
215,0
216,0
217,2
218,0
219,0
220,0
221,1
222,0
223,0
224,0
225,0
226,1
227,1
228,1
229,0
230,1
231,0
232,0
233,1
234,1
235,1
236,1
237,2
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,2
249,0
250,2
251,1
252,0
253,0
254,0
255,2
256,2
257,2
258,0
259,0
260,1
261,0
262,1
263,0
264,2
265,0
266,1
267,0
268,0
269,1
270,0
271,2
272,2
273,2
274,0
275,2
276,2
277,0
278,0
279,0
280,2
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,2
289,0
290,0
291,2
292,0
293,0
294,1
295,1
296,0
297,2
298,0
299,1
300,1
301,0
302,2
303,0
304,2
305,2
306,0
307,0
308,1
309,1
310,0
311,0
312,3
313,0
314,0
315,1
316,0
317,0
318,1
319,0
320,0
321,1
322,0
323,0
324,0
325,0
326,0
327,1
328,0
329,2
330,1
331,0
332,0
333,1
334,0
335,0
336,0
337,1
338,1
339,1
340,0
341,2
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,2
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,2
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,2
375,2
376,0
377,0
378,0
379,0
380,2
381,0
382,0
383,1
384,0
385,1
386,1
387,0
388,1
389,0
390,0
391,0
392,2
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,1
401,1
402,0
403,0
404,2
405,0
406,0
407,0
408,0
409,0
410,1
411,0
412,0
413,0
414,1
415,1
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,0
425,0
426,0
427,2
428,0
429,2
430,0
431,0
432,2
433,1
434,0
435,0
436,1
437,1
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,1
455,0
456,2
457,1
458,0
459,0
460,0
461,0
462,0
463,0
464,2
465,1
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,3
485,2
486,1
487,0
488,1
489,0
490,0
491,0
492,2
493,2
494,0
495,0
496,0
497,1
498,2
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,1
510,0
511,0
512,2
513,1
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,2
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,2
531,1
532,0
533,0
534,0
535,0
536,2
537,0
538,0
539,1
540,0
541,1
542,2
543,0
544,0
545,2
546,0
547,0
548,2
549,0
550,2
551,2
552,0
553,0
554,0
555,2
556,1
557,0
558,0
559,0
560,0
561,0
562,0
563,1
564,2
565,0
566,0
567,0
568,1
569,2
570,2
571,0
572,0
573,0
574,2
575,2
576,2
577,0
578,0
579,0
580,1
581,0
582,2
583,0
584,1
585,0
586,2
587,0
588,0
589,0
590,2
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,2
607,0
608,0
609,0
610,0
611,0
612,2
613,2
614,0
615,0
616,0
617,0
618,2
619,0
620,0
621,0
622,0
623,2
624,0
625,1
626,0
627,2
628,2
629,2
630,2
631,1
632,0
633,0
634,2
635,0
636,0
637,2
638,2
639,0
640,0
641,2
642,2
643,0
644,0
645,2
646,2
647,2
648,1
649,0
650,0
651,2
652,0
653,2
654,2
655,2
656,0
657,1
658,2
659,0
660,0
661,0
662,1
663,1
664,0
665,2
666,1
667,2
668,3
669,1
670,0
671,0
672,2
673,1
674,0
675,0
676,0
677,1
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,3
690,0
691,0
692,0
693,0
694,0
695,2
696,2
697,0
698,2
699,1
700,0
701,2
702,0
703,2
704,0
705,2
706,0
707,2
708,2
709,0
710,0
